,series_name,track_id
0,Silicon Valley,3JuoMW6Cf557jDxthJX7AR
1,Silicon Valley,69n7b5mVVDXkoAF2A9OeB3
2,Silicon Valley,38Mg4V9QH1ySHDlM0P4Yrk
3,Silicon Valley,2mF6ihjxuVTUoa3sEjB0Qu
4,Silicon Valley,4rljrNlG7pWo8xAcfBz0VH
5,Silicon Valley,65DxbULNmtl5xGYG2Dfn3H
6,Silicon Valley,0ZddjEEKe43OljzMrfMYIx
7,Silicon Valley,0tbAkEzaYn054pBlX66wt5
8,Silicon Valley,5iAoropa6PzHlhYflMoJvr
9,Silicon Valley,2gdvPU4pJzaimhHtwNZ8N7
10,Silicon Valley,3guKaqnwnfFfwR8P6ZQ9UI
11,Silicon Valley,7oMsRUhHgUYkLx5HZPwkA3
12,Silicon Valley,4AHo9T0MVpNTPybmv0ITfJ
13,Silicon Valley,6TOr3TbJ6nDPP4nZwUyb46
14,Silicon Valley,523JMQXpp4DvDAkrqsEKjt
15,Silicon Valley,08TvXe4tcryw3Q9pekYqhj
16,Silicon Valley,1WSlv7SGjBpf6ZKxbEkDlz
17,Silicon Valley,1ghOjBF9zkANCYJZwVEMgi
18,Silicon Valley,46L7Pj9moQ6PNvcMZzchUh
